Pose,Real_Class,Docking_score
ZINC00522226_size_20_004,Inactive,-5.8
ZINC00522226_size_20_005,Inactive,-5.7
ZINC00539962_size_20_001,Inactive,-8.1
ZINC00612469_size_20_001,Inactive,-8.3
ZINC00612469_size_20_002,Inactive,-8
ZINC00612469_size_20_003,Inactive,-7.7
ZINC00612469_size_20_004,Inactive,-7.2
ZINC00612469_size_20_005,Inactive,-6.4
ZINC00612469_size_20_006,Inactive,-5.3
ZINC00622062_size_20_001,Inactive,-5.2
ZINC00622062_size_20_002,Inactive,-4.2
ZINC00622062_size_20_003,Inactive,-3.2
ZINC00625941_size_20_001,Inactive,-5.9
ZINC00625941_size_20_002,Inactive,-5.6
ZINC00625941_size_20_003,Inactive,-4.7
ZINC00625941_size_20_004,Inactive,-4.6
ZINC00625941_size_20_005,Inactive,-4.4
ZINC00625941_size_20_006,Inactive,-4.2
ZINC00625941_size_20_007,Inactive,-4.1
ZINC00625941_size_20_008,Inactive,-4
ZINC00625941_size_20_009,Inactive,-3.6
ZINC00626046_size_20_001,Inactive,-7.1
ZINC00626046_size_20_002,Inactive,-6.6
ZINC00626046_size_20_003,Inactive,-6.5
ZINC00626046_size_20_004,Inactive,-5.2
ZINC00644150_size_20_001,Inactive,-7.5
ZINC00644150_size_20_002,Inactive,-6.6
ZINC00644150_size_20_003,Inactive,-6.1
ZINC00644150_size_20_004,Inactive,-5.1
ZINC00644150_size_20_005,Inactive,-4.7
ZINC00645299_size_20_001,Inactive,-6.7
ZINC00645299_size_20_002,Inactive,-6.1
ZINC00645299_size_20_003,Inactive,-5.8
ZINC00645299_size_20_004,Inactive,-4.3
ZINC00647630_size_20_001,Inactive,-6.4
ZINC00647630_size_20_002,Inactive,-6.3
ZINC00655496_size_20_001,Inactive,-7
ZINC00655496_size_20_002,Inactive,-5.6
ZINC00656505_size_20_001,Inactive,-9
ZINC00656505_size_20_002,Inactive,-8.4
ZINC00656505_size_20_003,Inactive,-8.3
ZINC00656505_size_20_004,Inactive,-7.9
ZINC00662003_size_20_001,Inactive,-7.4
ZINC00662003_size_20_002,Inactive,-6.3
ZINC00662003_size_20_003,Inactive,-5.9
ZINC00662003_size_20_004,Inactive,-5.7
ZINC00662003_size_20_005,Inactive,-5.3
ZINC00664652_size_20_001,Inactive,-5.1
ZINC00671033_size_20_001,Inactive,-6.9
ZINC00671033_size_20_002,Inactive,-6.3
ZINC00671033_size_20_003,Inactive,-6.1
ZINC00671033_size_20_004,Inactive,-5.6
ZINC00671033_size_20_005,Inactive,-4.7
ZINC00684062_size_20_001,Inactive,-6.9
ZINC00684062_size_20_002,Inactive,-6.8
ZINC00684062_size_20_003,Inactive,-5.7
ZINC00684062_size_20_004,Inactive,-5.4
ZINC00684062_size_20_005,Inactive,-5.2
ZINC00684062_size_20_006,Inactive,-4.3
ZINC00684062_size_20_007,Inactive,-4.2
ZINC00684062_size_20_008,Inactive,-3.9
ZINC00691856_size_20_001,Inactive,-7.5
ZINC00691856_size_20_002,Inactive,-6.3
ZINC00692301_size_20_001,Inactive,-9.8
ZINC00692301_size_20_002,Inactive,-8.4
ZINC00692301_size_20_003,Inactive,-7.3
ZINC00692301_size_20_004,Inactive,-7.3
ZINC00710962_size_20_001,Inactive,-10.2
ZINC00710962_size_20_002,Inactive,-9.9
ZINC00710962_size_20_003,Inactive,-8.8
ZINC00710962_size_20_004,Inactive,-8.6
ZINC00710962_size_20_005,Inactive,-8.1
ZINC00714608_size_20_001,Inactive,-7.4
ZINC00714608_size_20_002,Inactive,-7
ZINC00714608_size_20_003,Inactive,-6.9
ZINC00714608_size_20_004,Inactive,-6.2
ZINC00723784_size_20_001,Inactive,-6.8
ZINC00723784_size_20_002,Inactive,-6.1
ZINC00751476_size_20_001,Inactive,-6.9
ZINC00751476_size_20_002,Inactive,-5.5
ZINC00751476_size_20_003,Inactive,-4.9
ZINC00751476_size_20_004,Inactive,-4.1
ZINC00782385_size_20_001,Inactive,-6.9
ZINC00782385_size_20_002,Inactive,-6.8
ZINC00782385_size_20_003,Inactive,-6.5
ZINC00782385_size_20_004,Inactive,-6.3
ZINC00793123_size_20_001,Inactive,-8.5
ZINC00793123_size_20_002,Inactive,-7.6
ZINC00793123_size_20_003,Inactive,-7.5
ZINC00793123_size_20_004,Inactive,-5.8
ZINC00795886_size_20_001,Inactive,-7.7
ZINC00795886_size_20_002,Inactive,-7.6
ZINC00795886_size_20_003,Inactive,-6.6
ZINC00795886_size_20_004,Inactive,-5.4
ZINC00802258_size_20_001,Inactive,-8.9
